id,persona,theme,awareness,source,public_url,status,deployed_at,error
1,AI時代価値不安ビジネス層,人間は変われる,無関心,SNS広告,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/sns広告/,generated,2026-03-28 06:15:14,
4,AI時代価値不安ビジネス層,人間は変われる,無関心,コンセプト訴求記事,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/コンセプト訴求記事/,generated,2026-03-28 06:15:15,
3,AI時代価値不安ビジネス層,人間は変われる,無関心,指名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/指名検索/,generated,2026-03-28 06:15:15,
6,AI時代価値不安ビジネス層,人間は変われる,無関心,福岡イベント検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/福岡イベント検索/,generated,2026-03-28 06:15:16,
5,AI時代価値不安ビジネス層,人間は変われる,無関心,講師名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/講師名検索/,generated,2026-03-28 06:15:16,
2,AI時代価値不安ビジネス層,人間は変われる,無関心,リマーケティング,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/リマーケティング/,generated,2026-03-28 06:15:20,
7,AI時代価値不安ビジネス層,人間は変われる,無関心,AI時代人間価値文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/ai時代人間価値文脈/,generated,2026-03-28 06:15:27,
9,AI時代価値不安ビジネス層,人間は変われる,無関心,友人紹介,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/友人紹介/,generated,2026-03-28 06:15:28,
11,AI時代価値不安ビジネス層,人間は変われる,問題認識,SNS広告,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/sns広告/,generated,2026-03-28 06:15:29,
8,AI時代価値不安ビジネス層,人間は変われる,無関心,自己変容文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/自己変容文脈/,generated,2026-03-28 06:15:31,
12,AI時代価値不安ビジネス層,人間は変われる,問題認識,リマーケティング,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/リマーケティング/,generated,2026-03-28 06:15:33,
10,AI時代価値不安ビジネス層,人間は変われる,無関心,既存参加者周辺流入,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/既存参加者周辺流入/,generated,2026-03-28 06:15:33,
13,AI時代価値不安ビジネス層,人間は変われる,問題認識,指名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/指名検索/,generated,2026-03-28 06:15:38,
14,AI時代価値不安ビジネス層,人間は変われる,問題認識,コンセプト訴求記事,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/コンセプト訴求記事/,generated,2026-03-28 06:15:43,
15,AI時代価値不安ビジネス層,人間は変われる,問題認識,講師名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/講師名検索/,generated,2026-03-28 06:15:45,
17,AI時代価値不安ビジネス層,人間は変われる,問題認識,AI時代人間価値文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/ai時代人間価値文脈/,generated,2026-03-28 06:15:45,
18,AI時代価値不安ビジネス層,人間は変われる,問題認識,自己変容文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/自己変容文脈/,generated,2026-03-28 06:15:46,
16,AI時代価値不安ビジネス層,人間は変われる,問題認識,福岡イベント検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/福岡イベント検索/,generated,2026-03-28 06:15:47,
19,AI時代価値不安ビジネス層,人間は変われる,問題認識,友人紹介,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/友人紹介/,generated,2026-03-28 06:15:54,
20,AI時代価値不安ビジネス層,人間は変われる,問題認識,既存参加者周辺流入,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/既存参加者周辺流入/,generated,2026-03-28 06:15:56,
23,AI時代価値不安ビジネス層,人間は変われる,解決策探索,指名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/指名検索/,generated,2026-03-28 06:16:01,
21,AI時代価値不安ビジネス層,人間は変われる,解決策探索,SNS広告,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/sns広告/,generated,2026-03-28 06:16:02,
22,AI時代価値不安ビジネス層,人間は変われる,解決策探索,リマーケティング,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/リマーケティング/,generated,2026-03-28 06:16:02,
24,AI時代価値不安ビジネス層,人間は変われる,解決策探索,コンセプト訴求記事,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/コンセプト訴求記事/,generated,2026-03-28 06:16:03,
25,AI時代価値不安ビジネス層,人間は変われる,解決策探索,講師名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/講師名検索/,generated,2026-03-28 06:16:07,
26,AI時代価値不安ビジネス層,人間は変われる,解決策探索,福岡イベント検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/福岡イベント検索/,generated,2026-03-28 06:16:12,
28,AI時代価値不安ビジネス層,人間は変われる,解決策探索,自己変容文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/自己変容文脈/,generated,2026-03-28 06:16:14,
29,AI時代価値不安ビジネス層,人間は変われる,解決策探索,友人紹介,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/友人紹介/,generated,2026-03-28 06:16:16,
27,AI時代価値不安ビジネス層,人間は変われる,解決策探索,AI時代人間価値文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/ai時代人間価値文脈/,generated,2026-03-28 06:16:16,
1,AI時代価値不安ビジネス層,人間は変われる,無関心,SNS広告,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/sns広告/,generated,2026-03-28 06:16:20,
30,AI時代価値不安ビジネス層,人間は変われる,解決策探索,既存参加者周辺流入,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/解決策探索/既存参加者周辺流入/,generated,2026-03-28 06:16:21,
4,AI時代価値不安ビジネス層,人間は変われる,無関心,コンセプト訴求記事,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/コンセプト訴求記事/,generated,2026-03-28 06:16:21,
3,AI時代価値不安ビジネス層,人間は変われる,無関心,指名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/指名検索/,generated,2026-03-28 06:16:22,
2,AI時代価値不安ビジネス層,人間は変われる,無関心,リマーケティング,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/リマーケティング/,generated,2026-03-28 06:16:23,
5,AI時代価値不安ビジネス層,人間は変われる,無関心,講師名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/講師名検索/,generated,2026-03-28 06:16:23,
6,AI時代価値不安ビジネス層,人間は変われる,無関心,福岡イベント検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/福岡イベント検索/,generated,2026-03-28 06:16:25,
8,AI時代価値不安ビジネス層,人間は変われる,無関心,自己変容文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/自己変容文脈/,generated,2026-03-28 06:16:36,
7,AI時代価値不安ビジネス層,人間は変われる,無関心,AI時代人間価値文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/ai時代人間価値文脈/,generated,2026-03-28 06:16:36,
9,AI時代価値不安ビジネス層,人間は変われる,無関心,友人紹介,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/友人紹介/,generated,2026-03-28 06:16:36,
11,AI時代価値不安ビジネス層,人間は変われる,問題認識,SNS広告,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/sns広告/,generated,2026-03-28 06:16:38,
10,AI時代価値不安ビジネス層,人間は変われる,無関心,既存参加者周辺流入,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/無関心/既存参加者周辺流入/,generated,2026-03-28 06:16:38,
12,AI時代価値不安ビジネス層,人間は変われる,問題認識,リマーケティング,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/リマーケティング/,generated,2026-03-28 06:16:38,
31,AI時代価値不安ビジネス層,人間は変われる,比較検討,SNS広告,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/sns広告/,generated,2026-03-28 06:16:42,
33,AI時代価値不安ビジネス層,人間は変われる,比較検討,指名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/指名検索/,generated,2026-03-28 06:16:44,
35,AI時代価値不安ビジネス層,人間は変われる,比較検討,講師名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/講師名検索/,generated,2026-03-28 06:16:45,
34,AI時代価値不安ビジネス層,人間は変われる,比較検討,コンセプト訴求記事,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/コンセプト訴求記事/,generated,2026-03-28 06:16:45,
32,AI時代価値不安ビジネス層,人間は変われる,比較検討,リマーケティング,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/リマーケティング/,generated,2026-03-28 06:16:46,
36,AI時代価値不安ビジネス層,人間は変われる,比較検討,福岡イベント検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/福岡イベント検索/,generated,2026-03-28 06:16:46,
13,AI時代価値不安ビジネス層,人間は変われる,問題認識,指名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/指名検索/,generated,2026-03-28 06:16:49,
14,AI時代価値不安ビジネス層,人間は変われる,問題認識,コンセプト訴求記事,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/コンセプト訴求記事/,generated,2026-03-28 06:16:50,
18,AI時代価値不安ビジネス層,人間は変われる,問題認識,自己変容文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/自己変容文脈/,generated,2026-03-28 06:16:52,
17,AI時代価値不安ビジネス層,人間は変われる,問題認識,AI時代人間価値文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/ai時代人間価値文脈/,generated,2026-03-28 06:16:52,
37,AI時代価値不安ビジネス層,人間は変われる,比較検討,AI時代人間価値文脈,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/ai時代人間価値文脈/,generated,2026-03-28 06:16:55,
16,AI時代価値不安ビジネス層,人間は変われる,問題認識,福岡イベント検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/福岡イベント検索/,generated,2026-03-28 06:16:55,
15,AI時代価値不安ビジネス層,人間は変われる,問題認識,講師名検索,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/問題認識/講師名検索/,generated,2026-03-28 06:16:55,
39,AI時代価値不安ビジネス層,人間は変われる,比較検討,友人紹介,https://xserver-n8n-467911.web.app/lp/ai時代価値不安ビジネス層/人間は変われる/比較検討/友人紹介/,generated,2026-03-28 06:16:57,
